Archivo de entrada;Archivo de salida;Nombre del algoritmo;Tamano del arreglo;Caracteristica del arreglo;Resultado correcto;Tiempo;Memoria usada
10000000_ascendente_D7_b.txt;10000000_ascendente_D7_b_quick_sort_out.txt;quick_sort;10000000;ordenado;si;17184;16384
10000000_ascendente_D7_b.txt;10000000_ascendente_D7_b_patience_sort_out.txt;patience_sort;10000000;ordenado;si;3000;335568896
10000000_ascendente_D7_b.txt;10000000_ascendente_D7_b_std_sort_out.txt;std_sort;10000000;ordenado;si;205;40017920
10000000_ascendente_D7_c.txt;10000000_ascendente_D7_c_merge_sort_out.txt;merge_sort;10000000;ordenado;si;1394;40116224
10000000_ascendente_D7_c.txt;10000000_ascendente_D7_c_quick_sort_out.txt;quick_sort;10000000;ordenado;si;16586;16384
10000000_ascendente_D7_c.txt;10000000_ascendente_D7_c_patience_sort_out.txt;patience_sort;10000000;ordenado;si;3783;335433728
10000000_ascendente_D7_c.txt;10000000_ascendente_D7_c_std_sort_out.txt;std_sort;10000000;ordenado;si;247;40017920
10000000_descendente_D1_a.txt;10000000_descendente_D1_a_merge_sort_out.txt;merge_sort;10000000;decrecientemente;si;1359;40017920
10000000_descendente_D1_a.txt;10000000_descendente_D1_a_quick_sort_out.txt;quick_sort;10000000;decrecientemente;si;37;16384
10000000_descendente_D1_a.txt;10000000_descendente_D1_a_patience_sort_out.txt;patience_sort;10000000;decrecientemente;si;178;67133440
10000000_descendente_D1_a.txt;10000000_descendente_D1_a_std_sort_out.txt;std_sort;10000000;decrecientemente;si;151;40017920
10000000_descendente_D1_b.txt;10000000_descendente_D1_b_merge_sort_out.txt;merge_sort;10000000;decrecientemente;si;1371;40017920
10000000_descendente_D1_b.txt;10000000_descendente_D1_b_quick_sort_out.txt;quick_sort;10000000;decrecientemente;si;42;16384
10000000_descendente_D1_b.txt;10000000_descendente_D1_b_patience_sort_out.txt;patience_sort;10000000;decrecientemente;si;215;67133440
10000000_descendente_D1_b.txt;10000000_descendente_D1_b_std_sort_out.txt;std_sort;10000000;decrecientemente;si;135;40017920
10000000_descendente_D1_c.txt;10000000_descendente_D1_c_merge_sort_out.txt;merge_sort;10000000;decrecientemente;si;1387;40017920
10000000_descendente_D1_c.txt;10000000_descendente_D1_c_quick_sort_out.txt;quick_sort;10000000;decrecientemente;si;31;16384
10000000_descendente_D1_c.txt;10000000_descendente_D1_c_patience_sort_out.txt;patience_sort;10000000;decrecientemente;si;191;67133440
10000000_descendente_D1_c.txt;10000000_descendente_D1_c_std_sort_out.txt;std_sort;10000000;decrecientemente;si;132;40017920
10000000_descendente_D7_a.txt;10000000_descendente_D7_a_merge_sort_out.txt;merge_sort;10000000;decrecientemente;si;1515;40017920
10000000_descendente_D7_a.txt;10000000_descendente_D7_a_quick_sort_out.txt;quick_sort;10000000;decrecientemente;si;11872;16384
10000000_descendente_D7_a.txt;10000000_descendente_D7_a_patience_sort_out.txt;patience_sort;10000000;decrecientemente;si;194;67133440
10000000_descendente_D7_a.txt;10000000_descendente_D7_a_std_sort_out.txt;std_sort;10000000;decrecientemente;si;198;40017920
10000000_descendente_D7_b.txt;10000000_descendente_D7_b_merge_sort_out.txt;merge_sort;10000000;decrecientemente;si;1518;40017920
10000000_descendente_D7_b.txt;10000000_descendente_D7_b_quick_sort_out.txt;quick_sort;10000000;decrecientemente;si;12014;16384
10000000_descendente_D7_b.txt;10000000_descendente_D7_b_patience_sort_out.txt;patience_sort;10000000;decrecientemente;si;169;67133440
10000000_descendente_D7_b.txt;10000000_descendente_D7_b_std_sort_out.txt;std_sort;10000000;decrecientemente;si;231;40017920
10000000_descendente_D7_c.txt;10000000_descendente_D7_c_merge_sort_out.txt;merge_sort;10000000;decrecientemente;si;1516;40017920
10000000_descendente_D7_c.txt;10000000_descendente_D7_c_quick_sort_out.txt;quick_sort;10000000;decrecientemente;si;12205;16384
10000000_descendente_D7_c.txt;10000000_descendente_D7_c_patience_sort_out.txt;patience_sort;10000000;decrecientemente;si;216;67133440
10000000_descendente_D7_c.txt;10000000_descendente_D7_c_std_sort_out.txt;std_sort;10000000;decrecientemente;si;206;40017920
100000_aleatorio_D1_a.txt;100000_aleatorio_D1_a_merge_sort_out.txt;merge_sort;100000;aleatorio;si;19;16384
100000_aleatorio_D1_a.txt;100000_aleatorio_D1_a_quick_sort_out.txt;quick_sort;100000;aleatorio;si;2;16384
100000_aleatorio_D1_a.txt;100000_aleatorio_D1_a_patience_sort_out.txt;patience_sort;100000;aleatorio;si;11;20480
100000_aleatorio_D1_a.txt;100000_aleatorio_D1_a_std_sort_out.txt;std_sort;100000;aleatorio;si;5;16384
100000_aleatorio_D1_b.txt;100000_aleatorio_D1_b_merge_sort_out.txt;merge_sort;100000;aleatorio;si;25;16384
100000_aleatorio_D1_b.txt;100000_aleatorio_D1_b_quick_sort_out.txt;quick_sort;100000;aleatorio;si;2;16384
100000_aleatorio_D1_b.txt;100000_aleatorio_D1_b_patience_sort_out.txt;patience_sort;100000;aleatorio;si;9;16384
100000_aleatorio_D1_b.txt;100000_aleatorio_D1_b_std_sort_out.txt;std_sort;100000;aleatorio;si;5;16384
100000_aleatorio_D1_c.txt;100000_aleatorio_D1_c_merge_sort_out.txt;merge_sort;100000;aleatorio;si;24;16384
100000_aleatorio_D1_c.txt;100000_aleatorio_D1_c_quick_sort_out.txt;quick_sort;100000;aleatorio;si;1;16384
100000_aleatorio_D1_c.txt;100000_aleatorio_D1_c_patience_sort_out.txt;patience_sort;100000;aleatorio;si;6;16384
100000_aleatorio_D1_c.txt;100000_aleatorio_D1_c_std_sort_out.txt;std_sort;100000;aleatorio;si;3;16384
100000_aleatorio_D7_a.txt;100000_aleatorio_D7_a_merge_sort_out.txt;merge_sort;100000;aleatorio;si;30;16384
100000_aleatorio_D7_a.txt;100000_aleatorio_D7_a_quick_sort_out.txt;quick_sort;100000;aleatorio;si;11;16384
100000_aleatorio_D7_a.txt;100000_aleatorio_D7_a_patience_sort_out.txt;patience_sort;100000;aleatorio;si;27;53248
100000_aleatorio_D7_a.txt;100000_aleatorio_D7_a_std_sort_out.txt;std_sort;100000;aleatorio;si;8;16384
