Archivo de entrada;Archivo de salida;Nombre del algoritmo;Tamano de la matriz;Caracteristica de la matriz;Tiempo;Memoria usada
16_diagonal_D0_a_1.txt;16_diagonal_D0_a_naive_out.txt;naive;16x16;diagonal;0;16384
16_diagonal_D0_a_1.txt;16_diagonal_D0_a_strassen_out.txt;strassen;16x16;diagonal;0;16384
16_diagonal_D0_b_1.txt;16_diagonal_D0_b_naive_out.txt;naive;16x16;diagonal;0;16384
16_diagonal_D0_b_1.txt;16_diagonal_D0_b_strassen_out.txt;strassen;16x16;diagonal;0;16384
16_diagonal_D0_c_1.txt;16_diagonal_D0_c_naive_out.txt;naive;16x16;diagonal;0;8192
16_diagonal_D0_c_1.txt;16_diagonal_D0_c_strassen_out.txt;strassen;16x16;diagonal;0;12288
16_diagonal_D10_a_1.txt;16_diagonal_D10_a_naive_out.txt;naive;16x16;diagonal;0;12288
16_diagonal_D10_a_1.txt;16_diagonal_D10_a_strassen_out.txt;strassen;16x16;diagonal;0;16384
16_diagonal_D10_b_1.txt;16_diagonal_D10_b_naive_out.txt;naive;16x16;diagonal;0;16384
16_diagonal_D10_b_1.txt;16_diagonal_D10_b_strassen_out.txt;strassen;16x16;diagonal;0;16384
16_diagonal_D10_c_1.txt;16_diagonal_D10_c_naive_out.txt;naive;16x16;diagonal;0;16384
16_diagonal_D10_c_1.txt;16_diagonal_D10_c_strassen_out.txt;strassen;16x16;diagonal;0;16384
16_dispersa_D0_a_1.txt;16_dispersa_D0_a_naive_out.txt;naive;16x16;dispersa;0;16384
16_dispersa_D0_a_1.txt;16_dispersa_D0_a_strassen_out.txt;strassen;16x16;dispersa;0;12288
16_dispersa_D0_b_1.txt;16_dispersa_D0_b_naive_out.txt;naive;16x16;dispersa;0;8192
16_dispersa_D0_b_1.txt;16_dispersa_D0_b_strassen_out.txt;strassen;16x16;dispersa;0;16384
16_dispersa_D0_c_1.txt;16_dispersa_D0_c_naive_out.txt;naive;16x16;dispersa;0;16384
16_dispersa_D0_c_1.txt;16_dispersa_D0_c_strassen_out.txt;strassen;16x16;dispersa;0;16384
16_dispersa_D10_a_1.txt;16_dispersa_D10_a_naive_out.txt;naive;16x16;dispersa;0;8192
16_dispersa_D10_a_1.txt;16_dispersa_D10_a_strassen_out.txt;strassen;16x16;dispersa;0;16384
16_dispersa_D10_b_1.txt;16_dispersa_D10_b_naive_out.txt;naive;16x16;dispersa;0;16384
16_dispersa_D10_b_1.txt;16_dispersa_D10_b_strassen_out.txt;strassen;16x16;dispersa;0;16384
16_dispersa_D10_c_1.txt;16_dispersa_D10_c_naive_out.txt;naive;16x16;dispersa;0;16384
16_dispersa_D10_c_1.txt;16_dispersa_D10_c_strassen_out.txt;strassen;16x16;dispersa;0;16384
256_densa_D0_a_1.txt;256_densa_D0_a_naive_out.txt;naive;256x256;densa;40;147456
256_densa_D0_a_1.txt;256_densa_D0_a_strassen_out.txt;strassen;256x256;densa;42;1736704
256_densa_D0_b_1.txt;256_densa_D0_b_naive_out.txt;naive;256x256;densa;40;28672
256_densa_D0_b_1.txt;256_densa_D0_b_strassen_out.txt;strassen;256x256;densa;41;1736704
256_densa_D0_c_1.txt;256_densa_D0_c_naive_out.txt;naive;256x256;densa;44;28672
256_densa_D0_c_1.txt;256_densa_D0_c_strassen_out.txt;strassen;256x256;densa;36;1724416
256_densa_D10_a_1.txt;256_densa_D10_a_naive_out.txt;naive;256x256;densa;39;53248
256_densa_D10_a_1.txt;256_densa_D10_a_strassen_out.txt;strassen;256x256;densa;37;1740800
256_densa_D10_b_1.txt;256_densa_D10_b_naive_out.txt;naive;256x256;densa;40;16384
256_densa_D10_b_1.txt;256_densa_D10_b_strassen_out.txt;strassen;256x256;densa;36;1712128
256_densa_D10_c_1.txt;256_densa_D10_c_naive_out.txt;naive;256x256;densa;41;139264
256_densa_D10_c_1.txt;256_densa_D10_c_strassen_out.txt;strassen;256x256;densa;38;1724416
256_diagonal_D0_a_1.txt;256_diagonal_D0_a_naive_out.txt;naive;256x256;diagonal;40;147456
256_diagonal_D0_a_1.txt;256_diagonal_D0_a_strassen_out.txt;strassen;256x256;diagonal;39;1753088
256_diagonal_D0_b_1.txt;256_diagonal_D0_b_naive_out.txt;naive;256x256;diagonal;39;16384
256_diagonal_D0_b_1.txt;256_diagonal_D0_b_strassen_out.txt;strassen;256x256;diagonal;38;1794048
256_diagonal_D0_c_1.txt;256_diagonal_D0_c_naive_out.txt;naive;256x256;diagonal;40;159744
256_diagonal_D0_c_1.txt;256_diagonal_D0_c_strassen_out.txt;strassen;256x256;diagonal;43;1921024
256_diagonal_D10_a_1.txt;256_diagonal_D10_a_naive_out.txt;naive;256x256;diagonal;40;28672
256_diagonal_D10_a_1.txt;256_diagonal_D10_a_strassen_out.txt;strassen;256x256;diagonal;38;1781760
256_diagonal_D10_b_1.txt;256_diagonal_D10_b_naive_out.txt;naive;256x256;diagonal;39;159744
256_diagonal_D10_b_1.txt;256_diagonal_D10_b_strassen_out.txt;strassen;256x256;diagonal;37;1687552
256_diagonal_D10_c_1.txt;256_diagonal_D10_c_naive_out.txt;naive;256x256;diagonal;39;28672
256_diagonal_D10_c_1.txt;256_diagonal_D10_c_strassen_out.txt;strassen;256x256;diagonal;38;1916928
256_dispersa_D0_a_1.txt;256_dispersa_D0_a_naive_out.txt;naive;256x256;dispersa;41;290816
256_dispersa_D0_a_1.txt;256_dispersa_D0_a_strassen_out.txt;strassen;256x256;dispersa;40;1708032
256_dispersa_D0_b_1.txt;256_dispersa_D0_b_naive_out.txt;naive;256x256;dispersa;41;28672
256_dispersa_D0_b_1.txt;256_dispersa_D0_b_strassen_out.txt;strassen;256x256;dispersa;41;1859584
256_dispersa_D0_c_1.txt;256_dispersa_D0_c_naive_out.txt;naive;256x256;dispersa;86;28672
256_dispersa_D0_c_1.txt;256_dispersa_D0_c_strassen_out.txt;strassen;256x256;dispersa;39;1708032
256_dispersa_D10_a_1.txt;256_dispersa_D10_a_naive_out.txt;naive;256x256;dispersa;42;28672
256_dispersa_D10_a_1.txt;256_dispersa_D10_a_strassen_out.txt;strassen;256x256;dispersa;36;1900544
256_dispersa_D10_b_1.txt;256_dispersa_D10_b_naive_out.txt;naive;256x256;dispersa;40;28672
256_dispersa_D10_b_1.txt;256_dispersa_D10_b_strassen_out.txt;strassen;256x256;dispersa;38;1884160
256_dispersa_D10_c_1.txt;256_dispersa_D10_c_naive_out.txt;naive;256x256;dispersa;41;28672
256_dispersa_D10_c_1.txt;256_dispersa_D10_c_strassen_out.txt;strassen;256x256;dispersa;37;1859584
64_densa_D0_a_1.txt;64_densa_D0_a_naive_out.txt;naive;64x64;densa;0;32768
64_densa_D0_a_1.txt;64_densa_D0_a_strassen_out.txt;strassen;64x64;densa;0;28672
64_densa_D0_b_1.txt;64_densa_D0_b_naive_out.txt;naive;64x64;densa;0;16384
64_densa_D0_b_1.txt;64_densa_D0_b_strassen_out.txt;strassen;64x64;densa;0;16384
64_densa_D0_c_1.txt;64_densa_D0_c_naive_out.txt;naive;64x64;densa;0;16384
64_densa_D0_c_1.txt;64_densa_D0_c_strassen_out.txt;strassen;64x64;densa;0;16384
64_densa_D10_a_1.txt;64_densa_D10_a_naive_out.txt;naive;64x64;densa;0;16384
64_densa_D10_a_1.txt;64_densa_D10_a_strassen_out.txt;strassen;64x64;densa;0;16384
